antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({1173.0}),frozenset({618.0}),0.031855751978115715,0.051210400917728036,0.006618231020384151,0.20775623268698062,4.0569147861339925,1.0,0.004986885190049138,1.1975980603800707,0.7783006218225275,0.08657175836860331,0.16499530762212547,0.16849615195520773
frozenset({1529.0}),frozenset({589.0}),0.028884901608965497,0.04103303232638174,0.00600052945848163,0.20773930753564154,5.062733504149969,1.0,0.004815294357016593,1.210418460482639,0.826347204033817,0.09387942936033135,0.17383943433805304,0.17698793333771323
frozenset({1613.0}),frozenset({1051.0}),0.02441391887519487,0.08659587610671529,0.0050592699355825515,0.2072289156626506,2.3930575563122054,1.0,0.0029451252413867784,1.1521662960963925,0.5966921449661718,0.04775124930594115,0.13206973386736007,0.13282641435306441
frozenset({1248.0}),frozenset({57.0}),0.025002206077006796,0.027884813365885226,0.005176927375944936,0.20705882352941174,7.425505088111192,1.0,0.004479745525752201,1.2259612887818954,0.887518958249341,0.10850801479654747,0.18431355936728527,0.19635641598411513
frozenset({808.0}),frozenset({84.0}),0.026619995881989586,0.040209430243845046,0.005500485336941495,0.20662983425414366,5.138840142749175,1.0,0.004430110469433192,1.2097638797065742,0.8274297356712869,0.08968824940047962,0.17339241419362925,0.17171286884616474
"frozenset({1051.0, 959.0})",frozenset({317.0}),0.028679001088331324,0.019236991499249935,0.005912286378209842,0.20615384615384616,10.716532580569277,1.0,0.005360588678066633,1.2354572781501696,0.933456845142587,0.1407563025210084,0.19058310013173105,0.2567466478475653
frozenset({1163.0}),frozenset({57.0}),0.02503162043709739,0.027884813365885226,0.00514751301585434,0.20564042303172736,7.3746386727949735,1.0,0.004449510951720201,1.2237722245941296,0.8865929954918069,0.10775862068965517,0.18285447250475462,0.19511978957493542
frozenset({808.0}),frozenset({5.0}),0.026619995881989586,0.03670912139306409,0.0054710709768508985,0.20552486187845304,5.5987409689757754,1.0,0.004493874316536077,1.2124871281492031,0.8438517446961161,0.0945602440264362,0.175248976435365,0.17728166170845727
frozenset({1248.0}),frozenset({1421.0}),0.025002206077006796,0.03950348560167074,0.005118098655763744,0.20470588235294118,5.181970128334282,1.0,0.004130424367990702,1.2077249071576626,0.827717977979665,0.0861812778603269,0.17199687273696762,0.1671332836932241
frozenset({57.0}),frozenset({1135.0}),0.027884813365885226,0.044474512456981495,0.005706385857575668,0.20464135021097044,4.601317449155002,1.0,0.004466222378174001,1.2013768729320708,0.8051216048148438,0.08561341571050309,0.1676217325880364,0.1664741142589244
frozenset({1542.0}),frozenset({1248.0}),0.031061564255669617,0.025002206077006796,0.0063535017795687855,0.20454545454545456,8.181096256684492,1.0,0.005576894148974346,1.2257115123603344,0.9059058451305196,0.12781065088757396,0.1841473381658014,0.22933155080213902
frozenset({589.0}),frozenset({1384.0}),0.04103303232638174,0.026649410242080184,0.008383092625819925,0.20430107526881722,7.666251275843243,1.0,0.007289586513877641,1.2232649303714398,0.9067654874256988,0.14136904761904762,0.18251559807542775,0.2594353058463291
"frozenset({1051.0, 959.0})",frozenset({589.0}),0.028679001088331324,0.04103303232638174,0.005853457658028649,0.20410256410256408,4.974103850749012,1.0,0.0046766712792828125,1.2048876204662085,0.8225486343960124,0.0916628281897743,0.17004707906861147,0.173377446925834
frozenset({1384.0}),frozenset({5.0}),0.026649410242080184,0.03670912139306409,0.005412242256669706,0.2030905077262693,5.532426274975943,1.0,0.004433965821039619,1.2087832908834957,0.841677692476478,0.09340101522842638,0.1727218538327881,0.17526320258108335
"frozenset({1051.0, 959.0})",frozenset({1163.0}),0.028679001088331324,0.02503162043709739,0.005824043297938054,0.20307692307692307,8.112815691946127,1.0,0.005106161428179841,1.2234159203009396,0.902624604717149,0.12162162162162161,0.18261648928516724,0.21787218656783874
frozenset({1192.0}),frozenset({618.0}),0.02753184104479807,0.051210400917728036,0.005588728417213283,0.202991452991453,3.9638715837739387,1.0,0.004178811799306014,1.1904384245857997,0.7688903605615776,0.07639726578206674,0.15997335154236195,0.15606206767895453
